,state,AWND
0,AK,7.737317063090681
1,AL,5.589994116619539
2,AR,6.508412227415058
3,AZ,7.331593741873331
4,CA,6.889777560762501
5,CO,15.107428287874255
6,CT,7.068794958152962
7,DE,7.970730758754859
8,FL,7.498622507625253
9,GA,5.5476825050090985
10,GU,8.975186084291185
11,HI,9.345932450288645
12,IA,9.764979541152261
13,ID,5.528375988944968
14,IL,8.877687791166426
15,IN,8.385727031430383
16,KS,9.795105650770315
17,KY,6.627113915420761
18,LA,6.517732780405382
19,MA,8.005522135447885
20,MD,7.705971512820494
21,ME,6.435941779661009
22,MI,8.297904680427598
23,MN,8.438502858243428
24,MO,8.198246070295712
25,MP,11.425535302682
26,MS,6.208195038933695
27,MT,8.812966129076052
28,NC,6.888852483808745
29,ND,10.279504065811938
30,NE,9.711980231640958
31,NH,5.1322745099118965
32,NJ,6.45112475666198
33,NM,23.232445631014823
34,NV,6.487987465982042
35,NY,7.785939604421887
36,OH,8.305630856134671
37,OK,9.786477874338013
38,OR,5.597711232754764
39,PA,7.122537558200543
40,PR,8.701566796905226
41,RI,7.93726040308087
42,SC,6.325181902048083
43,SD,10.248661175713902
44,TN,5.912595683760681
45,TX,9.523443977561275
46,UT,7.040775810499303
47,VA,7.172474885679881
48,VI,10.400685106796114
49,VT,5.367795638461542
50,WA,6.263547813616403
51,WI,7.8523285700854695
52,WV,6.118233162754896
53,WY,8.731311354926316
